Rk,G,Date,Age,Home vs Away,Opp,Win/Loss by:,GS,3P,3PA,3P%,Time Rested,Name
2,2.0,2018-04-17,32-023,Home,WAS,W (+11),1,1.0,8.0,0.125,3.0,Kyle Lowry
3,3.0,2018-04-20,32-026,Away,WAS,L (-19),1,5.0,8.0,0.625,3.0,Kyle Lowry
4,4.0,2018-04-22,32-028,Away,WAS,L (-8),1,4.0,6.0,0.667,2.0,Kyle Lowry
5,5.0,2018-04-25,32-031,Home,WAS,W (+10),1,3.0,6.0,0.5,3.0,Kyle Lowry
6,6.0,2018-04-27,32-033,Away,WAS,W (+10),1,3.0,7.0,0.429,2.0,Kyle Lowry
7,7.0,2018-05-01,32-037,Home,CLE,L (-1),1,3.0,6.0,0.5,4.0,Kyle Lowry
8,8.0,2018-05-03,32-039,Home,CLE,L (-18),1,3.0,6.0,0.5,2.0,Kyle Lowry
9,9.0,2018-05-05,32-041,Away,CLE,L (-2),1,4.0,8.0,0.5,2.0,Kyle Lowry
10,10.0,2018-05-07,32-043,Away,CLE,L (-35),1,1.0,4.0,0.25,2.0,Kyle Lowry
1,1.0,2017-10-19,20-094,Home,CHI,W (+17),0,1.0,3.0,0.33299999999999996,N/A,OG Anunoby
2,2.0,2017-10-21,20-096,Home,PHI,W (+34),0,1.0,2.0,0.5,2.0,OG Anunoby
3,3.0,2017-10-23,20-098,Away,SAS,L (-4),0,0.0,2.0,0.0,2.0,OG Anunoby
4,4.0,2017-10-25,20-100,Away,GSW,L (-5),0,2.0,4.0,0.5,2.0,OG Anunoby
5,5.0,2017-10-27,20-102,Away,LAL,W (+9),0,1.0,3.0,0.33299999999999996,2.0,OG Anunoby
6,6.0,2017-10-30,20-105,Away,POR,W (+14),0,0.0,5.0,0.0,3.0,OG Anunoby
7,7.0,2017-11-01,20-107,Away,DEN,L (-18),0,2.0,3.0,0.667,2.0,OG Anunoby
8,8.0,2017-11-03,20-109,Away,UTA,W (+9),0,1.0,2.0,0.5,2.0,OG Anunoby
9,9.0,2017-11-05,20-111,Home,WAS,L (-11),0,0.0,0.0,,2.0,OG Anunoby
10,10.0,2017-11-07,20-113,Home,CHI,W (+5),0,2.0,3.0,0.667,2.0,OG Anunoby
11,11.0,2017-11-09,20-115,Home,NOP,W (+4),0,1.0,2.0,0.5,2.0,OG Anunoby
12,12.0,2017-11-12,20-118,Away,BOS,L (-1),0,0.0,1.0,0.0,3.0,OG Anunoby
13,13.0,2017-11-14,20-120,Away,HOU,W (+16),1,3.0,4.0,0.75,2.0,OG Anunoby
14,14.0,2017-11-15,20-121,Away,NOP,W (+9),1,1.0,2.0,0.5,1.0,OG Anunoby
15,15.0,2017-11-17,20-123,Home,NYK,W (+23),1,1.0,6.0,0.16699999999999998,2.0,OG Anunoby
16,16.0,2017-11-19,20-125,Home,WAS,W (+9),1,1.0,4.0,0.25,2.0,OG Anunoby
17,17.0,2017-11-22,20-128,Away,NYK,L (-8),1,1.0,2.0,0.5,3.0,OG Anunoby
18,18.0,2017-11-24,20-130,Away,IND,L (-3),1,0.0,2.0,0.0,2.0,OG Anunoby
19,19.0,2017-11-25,20-131,Away,ATL,W (+34),1,3.0,3.0,1.0,1.0,OG Anunoby
20,20.0,2017-11-29,20-135,Home,CHO,W (+13),1,0.0,0.0,,4.0,OG Anunoby
21,21.0,2017-12-01,20-137,Home,IND,W (+5),1,0.0,2.0,0.0,2.0,OG Anunoby
22,22.0,2017-12-05,20-141,Home,PHO,W (+13),1,4.0,5.0,0.8,4.0,OG Anunoby
23,23.0,2017-12-08,20-144,Away,MEM,W (+9),1,2.0,3.0,0.667,3.0,OG Anunoby
24,24.0,2017-12-10,20-146,Away,SAC,W (+15),1,1.0,2.0,0.5,2.0,OG Anunoby
25,25.0,2017-12-11,20-147,Away,LAC,L (-5),1,1.0,2.0,0.5,1.0,OG Anunoby
26,26.0,2017-12-13,20-149,Away,PHO,W (+6),1,1.0,2.0,0.5,2.0,OG Anunoby
27,27.0,2017-12-15,20-151,Home,BRK,W (+33),1,1.0,4.0,0.25,2.0,OG Anunoby
28,28.0,2017-12-17,20-153,Home,SAC,W (+15),1,3.0,6.0,0.5,2.0,OG Anunoby
29,29.0,2017-12-20,20-156,Away,CHO,W (+18),1,6.0,7.0,0.857,3.0,OG Anunoby
30,30.0,2017-12-21,20-157,Away,PHI,W (+5),1,1.0,4.0,0.25,1.0,OG Anunoby
31,31.0,2017-12-23,20-159,Home,PHI,W (+16),1,0.0,3.0,0.0,2.0,OG Anunoby
32,32.0,2017-12-26,20-162,Away,DAL,L (-5),1,0.0,2.0,0.0,3.0,OG Anunoby
33,33.0,2017-12-27,20-163,Away,OKC,L (-17),1,2.0,6.0,0.33299999999999996,1.0,OG Anunoby
34,34.0,2017-12-29,20-165,Home,ATL,W (+13),1,1.0,5.0,0.2,2.0,OG Anunoby
35,35.0,2018-01-01,20-168,Home,MIL,W (+4),1,0.0,0.0,,3.0,OG Anunoby
36,36.0,2018-01-03,20-170,Away,CHI,W (+9),1,0.0,4.0,0.0,2.0,OG Anunoby
37,37.0,2018-01-05,20-172,Away,MIL,W (+19),1,1.0,5.0,0.2,2.0,OG Anunoby
38,38.0,2018-01-08,20-175,Away,BRK,W (+1),1,0.0,2.0,0.0,3.0,OG Anunoby
39,39.0,2018-01-09,20-176,Home,MIA,L (-1),1,0.0,0.0,,1.0,OG Anunoby
40,40.0,2018-01-11,20-178,Home,CLE,W (+34),1,1.0,6.0,0.16699999999999998,2.0,OG Anunoby
41,41.0,2018-01-13,20-180,Home,GSW,L (-2),1,1.0,3.0,0.33299999999999996,2.0,OG Anunoby
42,42.0,2018-01-15,20-182,Away,PHI,L (-6),1,0.0,1.0,0.0,2.0,OG Anunoby
43,43.0,2018-01-17,20-184,Home,DET,W (+5),1,0.0,0.0,,2.0,OG Anunoby
44,44.0,2018-01-19,20-186,Home,SAS,W (+3),1,0.0,3.0,0.0,2.0,OG Anunoby
45,45.0,2018-01-20,20-187,Away,MIN,L (-6),1,1.0,3.0,0.33299999999999996,1.0,OG Anunoby
46,46.0,2018-01-24,20-191,Away,ATL,W (+15),1,2.0,3.0,0.667,4.0,OG Anunoby
47,47.0,2018-01-26,20-193,Home,UTA,L (-4),1,0.0,1.0,0.0,2.0,OG Anunoby
48,48.0,2018-01-28,20-195,Home,LAL,W (+12),1,0.0,3.0,0.0,2.0,OG Anunoby
49,49.0,2018-01-30,20-197,Home,MIN,W (+5),1,1.0,2.0,0.5,2.0,OG Anunoby
